Data,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
2023-01-01 00:00:00,0.0,0.467,0.0,12.93,12.76,12.72,13.43,1019,95,2.02,3.72,100,moderate rain
2023-01-01 01:00:00,0.0,0.577,0.0,13.49,13.38,13.43,13.9,1018,95,2.18,3.26,100,moderate rain
2023-01-01 02:00:00,0.0,0.346,0.0,13.55,13.44,13.48,14.82,1017,95,2.88,2.44,100,moderate rain
2023-01-01 03:00:00,0.0,0.27,0.0,13.61,13.51,12.01,14.82,1016,95,3.63,1.74,100,moderate rain
2023-01-01 04:00:00,0.0,0.252,0.0,13.59,13.49,12.01,14.82,1015,95,4.58,1.13,100,moderate rain
2023-01-01 05:00:00,0.0,0.255,0.0,13.7,13.61,13.12,15.82,1014,95,6.36,1.23,99,moderate rain
2023-01-01 06:00:00,0.0,0.256,0.0,14.22,14.18,14.04,16.12,1014,95,8.55,1.2,100,moderate rain
2023-01-01 07:00:00,0.0,0.263,0.0,15.3,15.31,14.79,16.82,1015,93,8.37,2.2,100,moderate rain
2023-01-01 08:00:00,0.275,0.0,0.002,16.8,16.55,15.66,16.82,1015,77,8.29,2.2,100,moderate rain
2023-01-01 09:00:00,0.331,0.0,0.0,16.61,16.31,14.72,16.82,1014,76,8.38,2.13,100,moderate rain
2023-01-01 10:00:00,0.271,0.0,0.0,15.03,14.86,13.72,15.15,1015,87,7.31,2.04,100,moderate rain
2023-01-01 11:00:00,0.25,0.0,0.022,13.76,13.65,13.34,14.04,1014,94,7.36,3.1,100,moderate rain
2023-01-01 12:00:00,0.778,0.0,0.056,14.1,14.02,13.34,14.82,1014,94,6.82,4.96,100,heavy intensity rain
2023-01-01 13:00:00,0.496,0.0,0.007,14.1,14.05,13.9,14.82,1014,95,4.85,6.11,100,heavy intensity rain
2023-01-01 14:00:00,0.338,0.0,0.016,13.92,13.82,12.72,14.04,1014,94,3.26,6.38,100,heavy intensity rain
2023-01-01 15:00:00,0.362,0.0,0.001,13.5,13.36,12.57,13.82,1015,94,1.97,6.16,100,heavy intensity rain
2023-01-01 16:00:00,1.326,0.0,0.0,13.3,13.17,11.68,13.48,1015,95,1.77,5.42,100,heavy intensity rain
2023-01-01 17:00:00,0.631,0.0,0.0,11.83,11.55,11.72,12.32,1015,95,1.67,3.76,100,moderate rain
2023-01-01 18:00:00,0.595,0.0,0.0,11.32,10.99,11.26,11.82,1016,95,2.22,2.03,100,moderate rain
2023-01-01 19:00:00,2.089,0.0,0.0,10.73,10.34,10.57,11.77,1017,95,2.71,1.3,100,moderate rain
2023-01-01 20:00:00,1.635,0.0,0.0,10.7,10.31,10.01,10.9,1018,95,2.35,0.85,100,light rain
2023-01-01 21:00:00,0.637,0.0,0.0,10.72,10.33,9.79,11.21,1020,95,2.7,0.5,90,light rain
